Produto;PreÁo;Link;Data;Fabricante;Modelo
Placa de VÌdeo RTX 4080 Gaming OC Gigabyte NVIDIA GeForce, 16 GB GDDR6X, DLSS, Ray Tracing - 9VN4080GO-00-10;R$ ---;https://www.kabum.com.br/produto/397596/placa-de-video-rtx-4080-gaming-oc-gigabyte-nvidia-geforce-16-gb-gddr6x-dlss-ray-tracing-9vn4080go-00-10;05/12/2022 05:58;Gigabyte;RTX 4080 
Placa de VÌdeo RTX 3070 TI FTW3 Ultra Gaming LHR EVGA GeForce, 8GB GDDR6X, Ray Tracing, DLSS, ARGB - 08G-P5-3797-KL;R$ ---;https://www.kabum.com.br/produto/164649/placa-de-video-rtx-3070-TI-ftw3-ultra-gaming-lhr-evga-geforce-8gb-gddr6x-ray-tracing-dlss-argb-08g-p5-3797-kl;05/12/2022 05:58;EVGA;RTX 3070 TI
Placa de VÌdeo RTX 3090 Asus NVIDIA TUF, 24GB, GDDR6X - TUF-RTX3090-O24G-GAMING;R$ ---;https://www.kabum.com.br/produto/127511/placa-de-video-rtx-3090-asus-nvidia-tuf-24gb-gddr6x-tuf-rtx3090-o24g-gaming;05/12/2022 05:58;Asus;RTX 3090 
Placa de VÌdeo RTX 3090 EVGA NVIDIA GeForce, 24GB, GDDR6X - 24G-P5-3987-KR;R$ ---;https://www.kabum.com.br/produto/128377/placa-de-video-rtx-3090-evga-nvidia-geforce-24gb-gddr6x-24g-p5-3987-kr;05/12/2022 05:58;EVGA;RTX 3090 
Placa de VÌdeo RTX 3070 XC3 Ultra Gaming EVGA NVIDIA GeForce, 8GB GDDR6, iCX3 Cooling, ARGB LED, LHR, DLSS, Ray Tracing - 08G-P5-3755-KL;R$ ---;https://www.kabum.com.br/produto/196991/placa-de-video-rtx-3070-xc3-ultra-gaming-evga-nvidia-geforce-8gb-gddr6-icx3-cooling-argb-led-lhr-dlss-ray-tracing-08g-p5-3755-kl;05/12/2022 05:58;EVGA;RTX 3070 
Placa de VÌdeo GT 730 PCYes NVIDIA GeForce, 4GB GDDR5, 64 Bits - PJGT7304GB64;R$ ---;https://www.kabum.com.br/produto/317941/placa-de-video-gt-730-pcyes-nvidia-geforce-4gb-gddr5-64-bits-pjgt7304gb64;05/12/2022 05:58;PCYes;GT 730 
Placa de VÌdeo RTX 3050 Elite 8G Gigabyte NVIDIA GeForce, RGB, 8GB GDDR6, LHR, DLSS, Ray Tracing - GV-N3050AORUS E-8GD;R$ ---;https://www.kabum.com.br/produto/347105/placa-de-video-rtx-3050-elite-8g-gigabyte-nvidia-geforce-rgb-8gb-gddr6-lhr-dlss-ray-tracing-gv-n3050aorus-e-8gd;05/12/2022 05:58;Gigabyte;RTX 3050 
Placa De VÌdeo Colorful NVIDIA GeForce RTX 3070 TI Advanced OC Igame, 8GB GDDR6X, LHR, 256BIT;R$ ---;https://www.kabum.com.br/produto/355241/placa-de-video-colorful-nvidia-geforce-rtx-3070-TI-advanced-oc-igame-8gb-gddr6x-lhr-256bit;05/12/2022 05:58;Colorful;RTX 3070 TI
Placa de VÌdeo RTX 4080 TUF EdiTIon Asus NVIDIA GeForce, 16 GB GDDR6X, ARGB, DLSS, Ray Tracing - TUF-RTX4080-O16G-GAMING;R$ ---;https://www.kabum.com.br/produto/397058/placa-de-video-rtx-4080-tuf-ediTIon-asus-nvidia-geforce-16-gb-gddr6x-argb-dlss-ray-tracing-tuf-rtx4080-o16g-gaming;05/12/2022 05:58;Asus;RTX 4080 TI
Placa de VÌdeo RTX 4080 Extreme Air ZOTAC NVIDIA GeForce, 16 GB GDDR6X, DLSS, Ray Tracing - ZT-D40810B-10P;R$ ---;https://www.kabum.com.br/produto/397584/placa-de-video-rtx-4080-extreme-air-zotac-nvidia-geforce-16-gb-gddr6x-dlss-ray-tracing-zt-d40810b-10p;05/12/2022 05:58;ZOTAC;RTX 4080 
Placa De VÌdeo, Afox,Nvidia, Geforce GTX 750 2GB, GDDR5, AF750-2048D5H6;R$ ---;https://www.kabum.com.br/produto/306325/placa-de-video-afox-nvidia-geforce-gtx-750-2gb-gddr5-af750-2048d5h6;05/12/2022 05:58;Afox;GTX 750 
Placa De VÌdeo 8GB, RTX 3060TI, EX Galax, GDDR6 - 36ISL6MD1WGG;R$ ---;https://www.kabum.com.br/produto/369567/placa-de-video-8gb-rtx-3060TI-ex-galax-gddr6-36isl6md1wgg;05/12/2022 05:58;Galax;RTX 3060 TI
Placa de VÌdeo RTX 3070 Gaming Trio Plus MSI NVIDIA GeForce, 8GB, LHR, RGB, DLSS, Ray Tracing - GeForce RTX 3070 GAMING TRIO PLUS 8G LHR;R$ ---;https://www.kabum.com.br/produto/356938/placa-de-video-rtx-3070-gaming-trio-plus-msi-nvidia-geforce-8gb-lhr-rgb-dlss-ray-tracing-geforce-rtx-3070-gaming-trio-plus-8g-lhr;05/12/2022 05:58;MSI;RTX 3070 
