,Produto,Preço,Link,Data
75,"Placa De Vídeo Asus Dual AMD Rx6500 Xt - 4GB, 64bits","R$ 2.252,90",https://www.kabum.com.br/produto/368147/placa-de-video-asus-dual-amd-rx6500-xt-4gb-64bits,05/12/2022 05:32:19
76,"Placa De Video Afox, 2Gb, DDR3, Gt610 - Af610-2048d3l7-v8","R$ 262,84",https://www.kabum.com.br/produto/393965/placa-de-video-afox-2gb-ddr3-gt610-af610-2048d3l7-v8,05/12/2022 05:32:19
77,Radeon Rx 550 4GB 128bits Pcwinmax Rx550-4gd5 GDDR5,"R$ 787,78",https://www.kabum.com.br/produto/400778/radeon-rx-550-4gb-128bits-pcwinmax-rx550-4gd5-gddr5,05/12/2022 05:32:19
78,Radeon Rx 550 4GB 128bits Pcwinmax Rx550-4gd5-128bit GDDR5,"R$ 787,78",https://www.kabum.com.br/produto/400776/radeon-rx-550-4gb-128bits-pcwinmax-rx550-4gd5-128bit-gddr5,05/12/2022 05:32:19
79,Radeon Rx 580 8GB 256bits Pcwinmax Rx580-8gd5 GDDR5,"R$ 1.373,59",https://www.kabum.com.br/produto/400777/radeon-rx-580-8gb-256bits-pcwinmax-rx580-8gd5-gddr5,05/12/2022 05:32:19
80,"Placa De Vídeo Afox AMD Radeon RX 550, 4GB, GDDR5, 128 Bits - Afrx550-4096d5h4-v6","R$ 1.251,31",https://www.kabum.com.br/produto/308099/placa-de-video-afox-amd-radeon-rx-550-4gb-gddr5-128-bits-afrx550-4096d5h4-v6,05/12/2022 05:32:19
81,"Placa De Vídeo XFX AMD RX 580 8GB, GDDR5, Red Dragon Power Color - 8GBD5-DHDV2/OC","R$ 4.481,20",https://www.kabum.com.br/produto/152751/placa-de-video-xfx-amd-rx-580-8gb-gddr5-red-dragon-power-color-8gbd5-dhdv2-oc,05/12/2022 05:32:19
82,"Placa De Video Power Color Radeon Rx 570, 8gb, Red Dragon Gddr5, 256 Bits - Axrx 570 8gbd5-dhdv3/oc","R$ 2.599,00",https://www.kabum.com.br/produto/158641/placa-de-video-power-color-radeon-rx-570-8gb-red-dragon-gddr5-256-bits-axrx-570-8gbd5-dhdv3-oc,05/12/2022 05:32:19
83,"Placa De Vídeo Pcyes Radeon Rx550, 4gb, Gddr5, 128 Bits, Graffiti Series - Pjrx550r5sf","R$ 1.426,12",https://www.kabum.com.br/produto/167767/placa-de-video-pcyes-radeon-rx550-4gb-gddr5-128-bits-graffiti-series-pjrx550r5sf,05/12/2022 05:32:19
84,"Placa De Video Power Color Radeon Rx550 2GB, DDR5 - Directx 12","R$ 899,99",https://www.kabum.com.br/produto/199105/placa-de-video-power-color-radeon-rx550-2gb-ddr5-directx-12,05/12/2022 05:32:19
